,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status,SOP,LOR 
516,310,159,151,103,3.18,39,0,reject,4,3
517,311,160,151,111,2.49,26,2,reject,4,3
518,318,160,158,110,2.14,21,0,reject,4,3
519,320,163,157,102,2.75,31,0,reject,3.5,3
520,316,164,152,91,2.6,0,0,reject,3,2
521,317,151,166,108,3.2,2,0,reject,3,2
522,317,165,152,95,2.44,18,2,reject,5,5
523,310,162,148,106,3.44,12,3,reject,5,4.5
524,308,158,150,91,2.18,0,0,reject,4,3.5
525,315,159,156,114,3.14,0,0,reject,4.5,4.5
526,320,168,152,0,2.99,27,0,reject,4.5,3.5
527,313,163,150,107,2.96,13,3,reject,1.5,2.5
528,322,166,156,103,2.25,8,3,reject,2,2
529,312,160,152,106,2.92,0,0,reject,1.5,2
530,316,163,153,0,2.68,15,3,reject,3,3
531,320,165,155,101,2.51,1,0,reject,4,4
532,317,162,155,0,3.56,16,0,reject,3,4.5
533,315,165,150,102,2.45,0,0,reject,4,4
534,320,164,156,0,3.36,30,0,reject,4,5
535,318,161,157,0,2.95,13,0,reject,5,5
536,308,161,147,107,3.49,57,2,reject,4,4
537,314,162,152,108,2.95,20,0,reject,1,2
538,314,162,152,108,2.95,20,0,reject,3,1.5
539,310,164,146,106,2.07,13,3,reject,4,3.5
540,306,160,146,0,3.1,18,0,reject,3.5,3
541,315,161,154,0,2.84,1,0,reject,2.5,2.5
542,313,156,157,114,2.25,1,0,reject,2.5,2
543,314,166,148,98,3.26,16,0,reject,4.5,4
544,319,165,154,106,3.59,2,0,reject,4.5,4
545,307,157,150,105,2.22,26,0,reject,5,4
546,310,161,149,112,3.4,25,0,reject,4,5
547,327,170,157,112,3.08,32,3,reject,4.5,4
548,314,167,147,90,2.3,56,0,reject,3.5,5
549,305,161,144,88,2.9,36,0,reject,3,4
550,314,162,152,101,2.85,6,0,reject,2.5,4.5
551,309,159,150,105,3.32,30,3,reject,1.5,3.5
552,311,161,150,110,3.28,20,1,reject,4,3
553,328,170,158,108,3.21,0,0,reject,4,2.5
554,323,170,153,102,3.6,4,0,reject,3,3.5
555,323,170,153,102,3.6,4,0,reject,3,3
556,304,160,144,91,3.2,57,0,reject,2,3
557,317,162,155,101,3.49,24,0,reject,4,2
558,311,162,149,107,3.13,3,3,reject,3,2
559,320,170,150,111,3.26,22,0,reject,2,2
560,309,159,150,114,2.3,20,0,reject,3,3
561,303,161,142,87,3.47,20,0,reject,4,3
562,305,155,150,98,3.44,12,0,reject,3,3
563,304,161,143,94,2.3,35,0,reject,4,3
564,319,170,149,0,3.32,0,3,reject,3,3.5
565,311,165,146,75,2.78,15,3,reject,3.5,3.5
566,308,158,150,100,2.97,25,0,reject,3,3
567,326,168,158,0,3.22,1,3,reject,3.5,3.5
568,303,160,143,95,3,0,0,reject,3.5,4
569,311,158,153,114,3.61,5,0,reject,4.5,4
570,311,158,153,116,2.37,43,0,reject,5,5
571,314,162,152,89,3.12,0,0,reject,5,5
572,314,162,152,89,3.12,0,0,reject,5,5
573,311,163,148,93,1.13,0,0,reject,4.5,4
574,306,162,144,107,3.24,0,0,reject,3,5
575,304,156,148,99,2.9,23,0,reject,2,4
576,302,160,142,92,2.81,16,0,reject,3,3
577,315,165,150,103,2.55,42,0,reject,3,2
578,311,151,160,94,3.25,35,0,reject,3,2
579,300,158,142,95,3.02,27,0,reject,1.5,2
580,309,159,150,108,2.7,12,2,reject,2,3
581,310,161,149,91,2.6,29,0,reject,5,5
582,313,162,151,102,2.9,33,0,reject,5,4.5
583,314,165,149,102,2.43,7,1,reject,4,4.5
584,301,156,145,89,2.95,2,0,reject,4.5,4.5
585,307,160,147,93,2.84,0,0,reject,4.5,3.5
586,313,155,158,106,2.23,0,0,reject,4.5,3.5
587,303,154,149,105,1.77,0,0,reject,3.5,3
588,313,157,156,89,2.12,0,0,reject,4.5,3.5
589,310,163,147,95,3.25,4,0,reject,4.5,3.5
590,314,164,150,101,1.8,1,0,reject,4,4
591,308,160,148,100,2.31,0,0,reject,5,3.5
592,302,154,148,101,3.32,0,0,reject,4,3
593,298,152,146,99,2,36,0,reject,3,3
594,317,160,157,109,2.63,0,0,reject,2,2.5
595,312,162,150,103,2.68,0,0,reject,1.5,2.5
596,329,167,162,118,3.12,2,0,reject,3,3
597,323,167,156,95,2.59,0,3,reject,4,4
598,316,164,152,108,2.02,0,3,reject,5,4.5
599,304,157,147,93,2.46,3,0,reject,4,4
600,305,155,150,96,3.09,20,0,reject,3.5,3.5
601,316,162,154,115,3.72,6,3,reject,2.5,3
602,321,167,154,112,2.4,18,0,reject,4,3.5
603,304,164,140,75,2.6,54,0,reject,4.5,4
604,323,162,161,113,2.15,11,0,reject,3.5,3
605,308,156,152,92,3.13,19,0,reject,4,4.5
606,308,156,152,92,3.13,19,0,reject,4.5,4.5
607,322,168,154,114,2.1,40,0,reject,3.5,4.5
608,307,160,147,102,2.5,30,0,reject,5,5
609,313,163,150,104,2.15,74,0,reject,5,4
610,312,162,150,107,2.88,20,0,reject,3,3
611,308,157,151,113,2.25,29,0,reject,4,4
612,311,158,153,102,2.15,14,3,reject,3.5,3.5
613,311,160,151,96,3.08,2,0,reject,4,3.5
614,320,166,154,108,3.11,20,0,reject,3.5,3
615,309,161,148,98,1.06,2,0,reject,4.5,4.5
616,308,159,149,82,3.64,0,0,reject,4,3.5
617,310,162,148,94,3.05,37,0,reject,2,2.5
618,308,158,150,94,3.4,12,0,reject,3,3.5
619,315,165,150,96,3.05,9,0,reject,3,3.5
620,309,162,147,94,3.01,18,0,reject,5,5
621,309,162,147,94,3.01,18,0,reject,4.5,4.5
622,307,158,149,107,2.28,40,0,reject,1.5,2.5
623,305,160,145,89,2.37,21,3,reject,3.5,3.5
624,307,155,152,97,2.4,17,3,reject,2.5,3
625,318,161,157,103,2.39,36,0,reject,2,3
626,303,162,141,91,3.07,17,0,reject,4,3
627,309,155,154,95,2.35,18,0,reject,2.5,2
628,310,157,153,110,2.35,38,0,reject,3.5,3
629,311,153,158,108,2.15,36,3,reject,5,5
630,305,160,145,90,3.23,30,0,reject,4,4.5
631,305,156,149,102,3.35,0,0,reject,5,4.5
632,319,167,152,93,3.44,3,0,reject,3.5,3.5
633,313,166,147,0,1.99,29,0,reject,4,4.5
634,301,157,144,93,2.6,5,0,reject,4,4
635,310,163,147,75,3.18,0,0,reject,3.5,4
636,294,153,141,83,2.18,78,0,reject,5,4
637,294,153,141,83,2.18,78,0,reject,1.5,3
638,315,167,148,93,3,2,0,reject,4.5,3
639,308,161,147,104,2.1,3,0,reject,3.5,3.5
640,315,163,152,103,2.85,44,0,reject,4,3
641,315,162,153,106,2.3,60,0,reject,4.5,3.5
642,314,165,149,110,3.24,0,0,reject,4,3.5
643,318,167,151,100,3.47,1,0,reject,4.5,4
644,300,156,144,102,2.15,20,0,reject,3,3.5
645,310,161,149,95,3.41,19,0,reject,2,2.5
646,309,160,149,105,2.62,15,1,reject,2,2.5
647,302,153,149,89,3.32,24,0,reject,3,3
648,307,162,145,93,2.54,16,0,reject,4,3.5
649,328,165,163,110,2.6,60,0,reject,3.5,3
650,316,167,149,89,2.75,19,0,reject,4,4
651,307,161,146,91,3.39,18,0,reject,5,5
652,311,165,146,96,2.5,5,0,reject,5,5
653,311,165,146,96,2.5,5,0,reject,3,4
654,312,161,151,95,3.04,0,0,reject,3,3.5
655,317,165,152,111,3.25,6,0,reject,3,3
656,294,157,137,87,2.75,60,0,reject,2,2.5
657,317,163,154,112,3.6,21,2,reject,2,2.5
658,311,162,149,92,3.14,0,0,reject,2,2.5
659,308,163,145,90,2.27,0,1,reject,1.5,2
660,311,162,149,112,3.16,1,0,reject,1.5,2
661,303,158,145,91,2.5,4,2,reject,1.5,3
662,320,170,150,103,3.06,32,0,reject,3,3
663,320,167,153,103,3.28,18,0,reject,3.5,3
664,298,161,137,90,2.85,21,0,reject,4.5,4
665,307,163,144,94,2.2,0,2,reject,4.5,4
666,313,164,149,108,2.16,32,3,reject,3.5,5
667,305,161,144,89,2.36,55,0,reject,2,3
668,323,166,157,112,2.5,5,3,reject,2,4
669,311,168,143,91,3.56,8,3,reject,2.5,3
670,303,159,144,88,2.87,36,0,reject,2.5,3.5
671,321,170,151,105,3.47,7,3,reject,4,4.5
672,311,160,151,105,2.1,32,2,reject,4,5
673,305,158,147,105,2.89,2,0,reject,4,4.5
674,314,165,149,93,2.76,42,0,reject,4,4
675,314,165,149,94,2.73,45,0,reject,4.5,3.5
676,307,158,149,97,3.34,0,0,reject,4.5,4.5
677,310,159,151,107,3.55,44,0,reject,3.5,3.5
678,308,164,144,94,2.52,36,3,reject,2.5,3
679,299,156,143,100,2.4,29,0,reject,3,3
680,308,160,148,100,1.8,0,2,reject,3.5,3
681,313,159,154,113,3.46,24,0,reject,2.5,2.5
682,319,170,149,93,2.4,8,3,reject,3,3.5
683,328,167,161,113,2.37,35,2,reject,4,4
684,313,163,150,99,2.82,25,0,reject,2.5,4
685,316,164,152,97,2.92,9,0,reject,4.5,4.5
686,310,158,152,109,2.3,21,3,reject,3.5,3
687,308,159,149,104,3.45,3,3,reject,4.5,3.5
688,323,164,159,109,3.41,1,0,reject,4.5,3.5
689,316,170,146,104,3.6,18,3,reject,5,5
690,309,163,146,90,3.26,6,0,reject,4.5,4
691,311,161,150,92,2.92,44,0,reject,4,5
692,321,167,154,112,3.02,30,0,reject,4.5,4
693,306,161,145,98,2.21,36,0,reject,4.5,5
694,317,162,155,102,1.85,14,2,reject,3.5,3
695,330,167,163,115,2.1,19,0,reject,3,3.5
696,301,159,142,84,2.4,36,0,reject,3,2.5
697,304,156,148,107,2.65,28,0,reject,3.5,2.5
698,308,162,146,89,3.12,21,0,reject,4.5,4.5
699,308,161,147,90,3.36,54,0,reject,4,4.5
700,305,158,147,91,1.92,26,3,reject,2.5,3
701,308,159,149,104,2.64,14,2,reject,3.5,3
702,316,163,153,98,2.18,51,0,reject,4.5,4.5
703,316,163,153,98,2.18,51,0,reject,4,5
704,312,164,148,89,3.43,32,3,reject,3.5,4
705,309,166,143,95,1.34,33,0,reject,2.5,3
706,324,170,154,103,3.54,2,3,reject,3.5,3
707,320,170,150,101,2.74,46,3,reject,3.5,4
708,310,163,147,95,3.27,4,0,reject,3,3
709,318,165,153,104,3.42,14,2,reject,3.5,4
710,330,170,160,113,3.4,36,0,reject,4.5,4
711,317,162,155,104,2.17,77,0,reject,5,4
712,310,162,148,97,3.2,0,0,reject,5,5
713,300,158,142,96,3.58,69,0,reject,5,4.5
714,312,160,152,86,2.5,12,3,reject,4.5,5
715,322,165,157,109,2.45,16,1,reject,5,4.5
716,302,158,144,91,2.08,21,3,reject,4.5,4.5
717,317,164,153,102,2.15,0,0,reject,4,4
718,309,161,148,89,2.59,31,0,reject,3,3.5
719,313,168,145,95,1.9,7,1,reject,3.5,3.5
720,313,168,145,95,1.9,7,1,reject,4,4
721,309,161,148,106,2.1,53,0,reject,3.5,4
722,304,161,143,104,2.34,19,0,reject,4.5,4
723,317,166,151,93,2,0,0,reject,3,4
724,307,158,149,93,1.9,60,0,reject,3,2
725,321,161,160,114,2.72,0,0,reject,2.5,2.5
726,319,167,152,99,3,6,3,reject,3.5,4
727,322,168,154,102,2.5,2,0,reject,3.5,3
728,311,163,148,95,3.28,0,0,reject,4,3.5
729,315,167,148,99,2.82,8,3,reject,3,3
730,315,160,155,114,2.28,12,0,reject,4,4.5
731,316,170,146,100,3.2,25,0,reject,3.5,2.5
732,310,164,146,97,3.11,24,0,reject,2.5,3.5
733,303,162,141,87,3.41,36,0,reject,2.5,3.5
734,303,155,148,93,3.31,21,0,reject,5,4
735,308,164,144,96,3.2,0,3,reject,4.5,4
736,309,158,151,103,3.08,44,1,reject,4,4.5
737,309,158,151,103,3.08,44,1,reject,4.5,5
738,309,166,143,95,3.04,1,0,reject,2,3.5
739,315,166,149,75,3.45,47,0,reject,1.5,2
740,309,161,148,95,2.75,24,3,reject,2.5,3
741,309,161,148,96,2.78,20,3,reject,2.5,2
742,316,163,153,109,3.66,4,0,reject,3.5,3
743,323,169,154,105,3.13,24,0,reject,3.5,3
744,322,163,159,109,2.46,7,0,reject,2.5,4
745,304,162,142,97,3.36,15,3,reject,4,2.5
746,315,165,150,91,2.81,0,0,reject,3,3.5
747,318,166,152,100,2.36,19,3,reject,2.5,3.5
748,314,166,148,101,2.28,31,0,reject,3.5,4
749,307,162,145,92,3.74,30,0,reject,3.5,4
750,306,161,145,105,3.36,34,3,reject,3,2.5
751,307,163,144,107,3.08,30,2,reject,2.5,3
752,322,161,161,107,3.4,0,0,reject,2.5,3.5
753,316,165,151,99,3.03,16,0,reject,4.5,4.5
754,329,168,161,111,1.95,1,0,reject,4,5
755,305,159,146,93,2.1,78,0,reject,4,4.5
756,305,159,146,97,2.02,27,3,reject,4,4
757,321,166,155,105,2.91,5,0,reject,4,5
758,306,157,149,91,2.17,25,0,reject,5,5
759,304,149,155,88,2.36,46,0,reject,5,4.5
760,300,144,156,92,2.98,2,3,reject,5,3.5
761,330,170,160,111,2.6,8,0,reject,3.5,4
762,301,159,142,90,2.19,12,3,reject,2.5,4
763,310,161,149,93,3.14,0,0,reject,2.5,1.5
764,308,159,149,97,2.47,32,0,reject,3,2.5
765,322,168,154,101,3.22,15,0,reject,2.5,2.5
766,316,164,152,111,3.36,0,0,reject,2,2.5
767,327,168,159,114,3.51,2,3,reject,3,3.5
768,315,167,148,103,2.55,0,3,reject,4.5,5
769,310,168,142,101,2.76,42,3,reject,4.5,5
770,312,161,151,109,2.11,0,3,reject,2.5,3
771,321,167,154,105,2.3,46,0,reject,1.5,2
772,309,161,148,102,2.9,30,0,reject,1.5,1.5
773,315,168,147,101,3.1,0,0,reject,1,1.5
774,316,170,146,98,3.36,1,2,reject,2,2.5
775,310,162,148,91,3.05,25,0,reject,3.5,3
776,314,166,148,110,3.3,8,3,reject,5,4.5
777,318,160,158,106,2.59,50,3,reject,2.5,3
778,315,167,148,103,3.25,30,0,reject,3,3.5
779,318,167,151,110,2.62,0,0,reject,3,4
780,310,164,146,107,3.32,13,1,reject,4.5,4
781,330,167,163,114,2.88,28,0,reject,4,4.5
782,310,160,150,108,2.15,15,3,reject,4,3.5
783,308,164,144,103,3.63,2,3,reject,2.5,3
784,309,157,152,98,3.21,3,3,reject,5,4.5
785,309,157,152,98,3.21,3,3,reject,4,4
786,321,161,160,111,2.55,32,0,reject,4.5,4
787,308,160,148,65,3.24,19,0,reject,5,4.5
788,318,167,151,101,3.6,14,0,reject,5,5
789,320,169,151,114,3.53,12,3,reject,4,3.5
790,317,165,152,109,2.8,23,0,reject,2.5,3
791,305,158,147,106,2.51,48,0,reject,1.5,2
792,315,161,154,107,2.2,24,0,reject,1,2
793,312,163,149,105,2.96,2,0,reject,3.5,3
794,314,166,148,93,3.32,0,0,reject,2.5,2
795,319,164,155,106,3.52,1,3,reject,3,2.5
796,323,154,169,103,3.14,3,0,reject,3.5,3.5
797,313,161,152,96,2.25,10,0,reject,4,4.5
798,315,164,151,103,2,30,3,reject,4.5,4.5
799,304,156,148,105,2.27,132,0,reject,3,3.5
800,319,166,153,105,2.72,24,0,reject,2.5,2.5
801,307,161,146,104,3.33,24,0,reject,2.5,3
802,307,161,146,104,3.33,24,0,reject,3,3
803,315,161,154,104,3.42,2,0,reject,3.5,3.5
804,332,170,162,115,2.62,4,3,reject,2.5,2
805,309,160,149,99,2.61,1,0,reject,3.5,3.5
806,311,164,147,99,3.16,30,0,reject,4,3.5
807,307,158,149,96,2.65,0,0,reject,4,4
808,323,164,159,109,2.79,5,0,reject,3.5,3
809,312,163,149,105,2.95,29,0,reject,3.5,3
810,324,170,154,110,3.43,2,0,reject,3,3.5
811,319,163,156,105,2.8,0,0,reject,4.5,4
812,318,164,154,94,1.85,33,3,reject,4.5,4.5
813,311,163,148,101,3.56,0,0,reject,3.5,3
814,311,161,150,99,3.43,1,0,reject,3,4
815,322,168,154,109,3.43,36,3,reject,2.5,3
816,317,165,152,109,2.67,33,0,reject,1.5,2
817,313,167,146,97,2.58,18,0,reject,1,2.5
818,318,168,150,104,2.64,22,0,reject,2.5,2
819,318,168,150,104,2.64,22,0,reject,3.5,3
820,320,166,154,109,3.14,40,0,reject,4,3.5
821,319,167,152,0,2.7,0,0,reject,4,4
822,307,158,149,98,1.95,44,2,reject,2.5,4
823,311,161,150,92,2.75,18,0,reject,2,2.5
824,306,157,149,89,3.6,21,0,reject,3,2.5
825,323,165,158,112,2.2,40,0,reject,3.5,4
826,323,169,154,94,3.51,31,0,reject,2,2
827,306,158,148,100,2.65,18,0,reject,2.5,2
828,305,156,149,91,3.19,18,3,reject,4,3.5
829,310,163,147,101,3.08,0,0,reject,2.5,1.5
830,304,161,143,90,3.58,0,0,reject,3.5,3
831,313,168,145,94,3.19,3,0,reject,3,2
832,310,164,146,102,3.28,34,0,reject,3.5,2.5
833,318,167,151,102,2.27,40,0,reject,3,3.5
834,310,160,150,95,2.91,42,0,reject,4.5,4
835,302,160,142,75,2.25,3,0,reject,4,4.5
836,326,167,159,114,3.07,0,0,reject,3,2.5
837,314,162,152,100,3.42,2,3,reject,5,5
838,323,170,153,103,3.16,26,0,reject,4,4
839,323,170,153,109,3.37,16,0,reject,3.5,4
840,310,162,148,102,2.45,18,0,reject,3,3
841,331,164,167,114,2.75,19,0,reject,3.5,3.5
842,326,167,159,117,2.6,0,3,reject,3,3
843,326,167,159,109,3.4,0,2,reject,2.5,3.5
844,306,158,148,99,2.35,15,1,reject,1.5,2
845,318,164,154,113,2.4,30,3,reject,1.5,2
846,320,167,153,106,3.47,8,3,reject,1.5,2
847,309,165,144,97,2.99,22,0,reject,1,1
848,310,160,150,95,2.54,30,0,reject,2,2
849,308,159,149,92,3.6,1,0,reject,2.5,3
850,306,161,145,96,2.75,36,0,reject,3,3.5
851,303,160,143,89,3.32,24,0,reject,3.5,4
852,314,159,155,75,2.85,23,0,reject,3,3.5
853,318,168,150,106,1.88,18,3,reject,3.5,2.5
854,309,161,148,91,3.62,20,0,reject,2.5,3
855,312,163,149,100,3.73,16,1,reject,2,3.5
856,313,161,152,96,3.04,0,0,reject,3.5,4
857,310,163,147,104,2.76,2,0,reject,3.5,3.5
858,322,170,152,100,2.77,0,0,reject,2.5,2
859,318,165,153,109,2.05,55,0,reject,2,1.5
860,311,167,144,113,3.11,0,0,reject,4,5
861,324,167,157,112,2.96,39,0,reject,4,3.5
862,319,167,152,110,3.8,16,3,reject,4.5,5
863,327,170,157,115,3.04,12,0,reject,2.5,3
864,309,162,147,96,2.65,41,0,reject,3.5,4
865,323,161,162,107,3.33,22,2,reject,4.5,3
866,305,158,147,97,3.47,3,3,reject,3.5,4.5
867,310,160,150,110,2.36,18,0,reject,1,2.5
868,310,160,150,110,2.36,18,0,reject,2,2
869,317,165,152,104,2.02,17,0,reject,2,3
870,314,160,154,107,2.11,15,3,reject,2.5,2.5
871,312,162,150,98,2.06,19,3,reject,3.5,3
872,316,166,150,100,2.26,7,3,reject,4.5,4
873,317,161,156,108,1.9,14,0,reject,3,3
874,318,168,150,102,2.05,42,0,reject,2,2.5
875,318,163,155,107,2.58,36,0,reject,2,2.5
876,303,163,140,85,3.41,6,0,reject,2.5,2
877,290,149,141,84,2.7,48,0,reject,1.5,2
878,301,159,142,78,3,32,0,reject,2,2.5
879,302,154,148,100,3.25,24,0,reject,2.5,3
880,329,169,160,112,1.96,36,0,reject,3.5,4
881,306,163,143,93,3.13,42,0,reject,3,3.5
882,309,163,146,90,3.16,6,0,reject,4.5,4
883,305,161,144,89,3.09,12,0,reject,3,3.5
884,316,167,149,98,3.17,24,0,reject,5,5
885,316,167,149,98,3.17,24,0,reject,5,5
886,307,157,150,96,3.19,43,0,reject,2.5,3.5
887,311,163,148,85,3.05,24,0,reject,2,3.5
888,309,161,148,109,3.25,4,0,reject,1.5,2
889,308,157,151,104,3.2,20,0,reject,3.5,4
890,311,163,148,106,2.05,30,0,reject,2,2.5
891,316,163,153,103,2.14,9,3,reject,2,3
892,323,165,158,114,2.75,8,3,reject,4,3.5
893,311,155,156,101,3.16,18,0,reject,3,3
894,308,163,145,95,2.29,24,0,reject,4.5,4
895,303,165,138,91,3.45,18,0,reject,3.5,3.5
896,316,164,152,98,2.15,55,0,reject,3,3.5
897,312,162,150,99,2.72,6,0,reject,5,4.5
898,300,156,144,65,3.2,24,3,reject,3.5,4
899,312,164,148,94,2.8,24,1,reject,5,4
900,312,161,151,99,2.8,30,0,reject,3.5,3
901,299,158,141,83,2.45,30,0,reject,3,3
902,299,158,141,83,2.45,30,0,reject,3.5,3
903,301,157,144,88,2.92,0,0,reject,4,3.5
904,315,161,154,113,2.17,22,0,reject,2,2.5
905,318,166,152,94,2.5,11,0,reject,2.5,3
906,313,158,155,110,2.45,30,2,reject,3,2.5
907,302,156,146,94,3.4,17,0,reject,2.5,4
908,310,162,148,96,2.9,60,0,reject,2,4
909,306,164,142,83,3.12,38,0,reject,2,2.5
910,306,162,144,93,3.48,45,0,reject,3,4
911,319,166,153,101,2.5,6,0,reject,2.5,1.5
912,325,170,155,108,3,4,0,reject,2.5,2
913,312,158,154,100,3,41,0,reject,3,2
914,309,159,150,100,1.7,50,0,reject,3.5,4
915,313,164,149,107,3.02,36,0,reject,4,4.5
916,308,159,149,106,2.6,0,3,reject,4,2.5
917,304,158,146,93,2.98,0,0,reject,3.5,2
918,309,156,153,106,3.26,18,2,reject,2.5,4
919,315,165,150,110,3.24,24,0,reject,2,3.5
920,310,159,151,104,2.8,24,2,reject,2,3
921,316,164,152,104,2.65,70,0,reject,3,4.5
922,323,170,153,96,2.15,24,0,reject,3.5,2.5
923,301,154,147,103,2.35,8,0,reject,4.5,5
924,304,155,149,105,2,26,0,reject,4,5
925,314,161,153,106,3.1,30,0,reject,4,5
926,300,158,142,91,3.04,15,3,reject,3,5
927,308,156,152,97,3.03,24,0,reject,3.5,5
928,317,158,159,105,2.1,40,0,reject,2,4.5
929,313,163,150,106,2.85,0,0,reject,5,4.5
930,303,156,147,103,2.78,30,2,reject,4,3.5
931,323,167,156,110,3.17,0,0,reject,3.5,3.5
932,318,164,154,107,3.16,0,0,reject,4.5,4
933,323,162,161,108,2.6,59,0,reject,4,5
934,319,170,149,96,2.72,5,0,reject,3.5,3
935,309,162,147,96,3.42,22,0,reject,2.5,4
936,312,163,149,102,3.38,0,0,reject,1.5,4
937,315,163,152,105,2.65,0,0,reject,1.5,3.5
938,321,161,160,105,2.8,36,0,reject,2.5,3.5
939,305,163,142,83,2.8,24,0,reject,1.5,3
940,312,162,150,100,2.4,48,0,reject,2.5,1.5
941,315,163,152,111,2.5,10,0,reject,1.5,3
942,305,160,145,104,3.1,2,0,reject,4.5,4.5
943,307,160,147,102,2.76,0,0,reject,4.5,4.5
944,309,160,149,99,2.28,20,0,reject,4,5
945,312,162,150,103,2.99,40,0,reject,4.5,5
946,304,154,150,95,2.44,0,3,reject,5,5
947,308,155,153,95,2.4,0,0,reject,3.5,5
948,314,159,155,107,2.3,30,0,reject,2.5,4
949,308,154,154,96,2.25,30,1,reject,3.5,4.5
950,319,165,154,109,2.2,0,1,reject,3,4.5
951,319,165,154,109,2.2,0,1,reject,4.5,4.5
952,328,170,158,115,2.68,0,3,reject,5,3.5
953,314,160,154,100,3.12,2,0,reject,2.5,4
954,315,163,152,111,2.35,23,3,reject,3,3.5
955,309,160,149,91,2.48,0,0,reject,1.5,2.5
956,322,166,156,113,3.1,0,0,reject,2,2
957,320,168,152,100,3.2,0,0,reject,2,1.5
958,304,158,146,94,2.84,26,0,reject,3,3
959,309,161,148,98,3.48,1,0,reject,4,3.5
960,320,170,150,97,3.09,18,0,reject,4,4.5
961,308,159,149,98,2.01,30,0,reject,2.5,2
962,311,167,144,98,3.66,1,0,reject,3,3
963,308,162,146,97,2.84,0,0,reject,3.5,3
964,306,154,152,95,2.5,19,0,reject,2,3
965,307,161,146,99,3,0,0,reject,3,4.5
966,306,160,146,96,3.36,6,0,reject,3.5,4.5
967,316,162,154,104,2.78,2,0,reject,3.5,5
968,316,162,154,104,2.78,2,0,reject,4,5
969,314,165,149,102,2.5,54,0,reject,4,3.5
970,309,159,150,103,2.45,30,0,reject,4,4
971,314,158,156,107,2.61,4,0,reject,2,4
972,305,159,146,93,2.18,30,0,reject,4,4.5
973,298,154,144,65,3.26,11,0,reject,4,3.5
974,310,157,153,108,1.95,32,0,reject,3,2.5
975,309,166,143,89,2.15,23,0,reject,3.5,2.5
976,320,166,154,111,2.98,22,0,reject,2.5,2
977,309,162,147,103,2.68,21,3,reject,3.5,2
978,310,163,147,107,2.9,0,0,reject,4,4.5
979,316,163,153,107,2.6,0,0,reject,4.5,4
980,316,163,153,112,2.6,12,3,reject,3.5,4
981,314,158,156,105,2.35,20,3,reject,3,2.5
982,309,158,151,106,2.5,7,0,reject,4,2.5
983,313,161,152,92,3.26,9,0,reject,5,3
984,317,161,156,109,3.45,6,0,reject,3.5,3
985,317,161,156,109,3.45,6,0,reject,2.5,3.5
986,314,162,152,108,3.54,0,0,reject,2.5,2.5
987,319,162,157,109,1.86,0,3,reject,3.5,4
988,316,164,152,104,3,0,0,reject,3,4
989,313,170,143,102,3.42,21,0,reject,4,4.5
990,319,165,154,104,3.26,0,0,reject,2.5,4.5
991,311,159,152,100,3.6,0,0,reject,3,3.5
992,313,163,150,107,3.31,0,0,reject,2.5,4.5
993,302,157,145,97,3.2,24,1,reject,3,1.5
994,321,169,152,108,1.96,0,0,reject,2.5,2
995,305,157,148,97,2.45,0,0,reject,4.5,4
996,312,163,149,107,3.22,0,0,reject,5,5
997,313,161,152,113,2.6,41,0,reject,4.5,5
998,318,168,150,104,2.3,30,3,reject,4,5
999,310,164,146,85,2.53,6,0,reject,4.5,4.5
1000,321,167,154,104,2.25,18,0,reject,3.5,3
1001,308,158,150,101,2.8,22,0,reject,4.5,4.5
1002,325,168,157,114,2.89,0,0,reject,4,5
1003,308,161,147,104,2.43,24,3,reject,3.5,4
1004,309,155,154,114,3.44,0,0,reject,2.5,3
1005,316,162,154,102,2.94,60,0,reject,3.5,3
1006,312,163,149,106,2.45,17,0,reject,3.5,4
1007,300,155,145,92,3,36,1,reject,3,3
1008,307,162,145,91,2.9,2,0,reject,3.5,4
1009,303,154,149,93,3.4,0,2,reject,4.5,4
1010,318,167,151,100,2.55,24,0,reject,5,4
1011,306,158,148,102,2.92,0,3,reject,5,5
1012,304,160,144,94,2.25,0,0,reject,5,4.5
1013,306,157,149,90,2.85,0,0,reject,4.5,5
1014,320,168,152,96,3.48,5,0,reject,5,4.5
1015,306,161,145,91,3.65,20,0,reject,4.5,4.5
1016,325,166,159,104,2.76,2,0,reject,4,4
1017,311,163,148,105,2.4,0,0,reject,3,3.5
1018,307,162,145,108,2.05,0,0,reject,3.5,3.5
1019,309,159,150,105,2.35,0,0,reject,4,4
1020,306,162,144,99,1.99,10,0,reject,3.5,4
1021,311,164,147,106,3.34,1,3,reject,4.5,4
1022,313,155,158,106,2.23,0,0,reject,3,4
1023,326,170,156,108,1.8,0,0,reject,3,2
1024,324,165,159,114,3.57,30,0,reject,2.5,2.5
1025,311,164,147,96,3,6,0,reject,3.5,4
1026,322,162,160,108,2.2,0,0,reject,3.5,3
1027,311,158,153,108,2.2,15,2,reject,4,3.5
1028,320,168,152,110,2.5,30,0,reject,3,3
1029,313,166,147,97,3.32,0,0,reject,4,4.5
1030,322,168,154,114,3.2,0,3,reject,3.5,2.5
1031,305,157,148,102,2.05,0,0,reject,2.5,3.5
1032,311,161,150,95,2.22,0,0,reject,2.5,3.5
1033,316,164,152,102,2.55,30,0,reject,5,4
1034,310,161,149,106,3.1,0,0,reject,4.5,4
