,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status,SOP,LOR 
118,319,164,155,115,1.43,0,0,reject,3,3.5
119,321,164,157,106,3.21,14,0,reject,3,3.5
120,293,156,137,79,2,63,0,reject,5,5
121,313,163,150,116,2.99,2,0,reject,4.5,4.5
122,309,167,142,96,2.47,0,0,reject,1.5,2.5
123,308,165,143,101,3.57,24,2,reject,3.5,3.5
124,318,166,152,75,3.27,0,0,reject,2.5,3
125,302,154,148,101,3,2,0,reject,2,3
126,317,165,152,101,2.35,18,3,reject,4,3
127,312,163,149,87,2.81,30,1,reject,2.5,2
128,318,166,152,0,3.35,28,0,reject,3.5,3
129,322,165,157,110,2.4,30,0,reject,5,5
130,306,157,149,0,2.1,11,3,reject,4,4.5
131,324,167,157,110,3.37,15,0,reject,5,4.5
132,316,166,150,96,2.52,34,0,reject,3.5,3.5
133,304,157,147,94,3.28,0,0,reject,4,4.5
134,319,170,149,0,2.54,8,0,reject,4,4
135,311,161,150,100,2.65,31,0,reject,3.5,4
136,320,163,157,114,2.92,0,0,reject,5,4
137,315,164,151,0,2.3,30,0,reject,1.5,3
138,319,164,155,114,3.23,60,0,reject,4.5,3
139,311,162,149,114,2.71,18,0,reject,3.5,3.5
140,303,158,145,99,3.86,12,0,reject,4,3
141,314,162,152,106,3.36,6,0,reject,4.5,3.5
142,319,166,153,91,3.14,0,3,reject,4,3.5
143,317,166,151,105,3.23,8,0,reject,4.5,4
144,318,165,153,95,3.14,30,0,reject,3,3.5
145,307,160,147,95,2.25,60,0,reject,2,2.5
146,311,163,148,101,3.68,24,3,reject,2,2.5
147,312,166,146,99,2.6,27,0,reject,3,3
148,303,142,161,101,3.7,19,0,reject,4,3.5
149,313,160,153,0,3.36,0,0,reject,3.5,3
150,313,163,150,0,3.08,0,0,reject,4,4
151,314,162,152,105,2.9,2,0,reject,5,5
152,288,153,135,79,2.94,19,3,reject,5,5
153,303,157,146,101,3.1,23,0,reject,3,4
154,312,166,146,93,3.31,55,0,reject,3,3.5
155,319,165,154,110,3.88,1,3,reject,3,3
156,313,169,144,100,2.96,3,0,reject,2,2.5
157,317,169,148,96,2.98,24,3,reject,2,2.5
158,313,162,151,102,3.12,1,0,reject,2,2.5
159,308,160,148,0,2.84,1,0,reject,1.5,2
160,310,163,147,0,3.24,14,3,reject,1.5,2
161,315,166,149,98,3.36,1,3,reject,1.5,3
162,322,165,157,111,2.15,20,0,reject,3,3
163,312,164,148,97,3.65,27,3,reject,3.5,3
164,310,160,150,97,3.51,41,0,reject,4.5,4
165,322,161,161,109,2.9,7,1,reject,4.5,4
166,312,147,165,106,2.75,15,3,reject,3.5,5
167,312,147,165,106,2.75,15,3,reject,2,3
168,320,164,156,0,2.55,51,0,reject,2,4
169,313,165,148,75,3.09,0,0,reject,2.5,3
170,316,163,153,110,3.56,23,0,reject,2.5,3.5
171,300,156,144,93,3.62,24,0,reject,4,4.5
172,321,167,154,113,2.1,24,0,reject,4,5
173,323,163,160,110,2.96,0,0,reject,4,4.5
174,301,153,148,95,1.82,12,3,reject,4,4
175,313,163,150,96,3.44,28,0,reject,4.5,3.5
176,310,165,145,104,2.96,5,0,reject,4.5,4.5
177,303,158,145,101,3.62,0,3,reject,3.5,3.5
178,311,161,150,101,3.36,0,0,reject,2.5,3
179,304,156,148,102,3.05,42,0,reject,3,3
180,323,156,167,107,3.02,36,0,reject,3.5,3
181,308,160,148,103,3.42,24,0,reject,2.5,2.5
182,308,160,148,103,3.42,24,0,reject,3,3.5
183,307,162,145,105,2.13,4,3,reject,4,4
184,304,160,144,99,3.6,0,0,reject,2.5,4
185,315,164,151,108,3.17,8,0,reject,4.5,4.5
186,315,161,154,112,2.36,12,3,reject,3.5,3
187,313,161,152,110,3.05,4,0,reject,4.5,3.5
188,318,167,151,104,3.12,13,0,reject,4.5,3.5
189,308,156,152,0,2.77,28,0,reject,5,5
190,306,154,152,109,3.41,0,0,reject,4.5,4
191,314,161,153,100,2.2,0,0,reject,4,5
192,319,164,155,112,2.6,5,0,reject,4.5,4
193,310,158,152,96,2.54,1,3,reject,4.5,5
194,304,160,144,99,3.1,2,0,reject,3.5,3
195,310,161,149,0,3.52,0,0,reject,3,3.5
196,320,167,153,0,3.04,1,2,reject,3,2.5
197,312,163,149,107,3.42,30,0,reject,3.5,2.5
198,318,163,155,110,3.33,51,0,reject,4.5,4.5
199,313,161,152,0,2.53,17,0,reject,4,4.5
200,310,159,151,103,3.31,15,3,reject,2.5,3
201,314,161,153,0,2.83,17,3,reject,3.5,3
202,310,158,152,96,2.25,33,0,reject,4.5,4.5
203,316,168,148,98,3.04,16,2,reject,4,5
204,319,169,150,101,3.03,8,0,reject,3.5,4
205,320,162,158,0,2.8,31,0,reject,2.5,3
206,309,160,149,106,3.15,26,0,reject,3.5,3
207,319,166,153,97,3.42,21,0,reject,3.5,4
208,315,163,152,103,3.24,40,3,reject,3,3
209,303,158,145,94,2.6,35,0,reject,3.5,4
210,318,168,150,107,3.27,1,0,reject,4.5,4
211,305,155,150,114,2.98,0,0,reject,5,4
212,317,168,149,102,2.98,3,0,reject,5,5
213,325,170,155,105,3.3,24,0,reject,5,4.5
214,307,160,147,75,3.48,11,0,reject,4.5,5
215,314,163,151,104,3.31,0,1,reject,5,4.5
216,307,161,146,112,3.53,36,3,reject,4.5,4.5
217,315,160,155,75,3.33,42,0,reject,4,4
218,303,154,149,104,3.17,5,0,reject,3,3.5
219,314,164,150,92,2.6,18,0,reject,3.5,3.5
220,313,165,148,0,2.58,10,2,reject,4,4
221,314,164,150,105,3.31,1,3,reject,3.5,4
222,310,163,147,0,3.24,14,3,reject,4.5,4
223,315,166,149,98,3.36,1,3,reject,3,4
224,314,163,151,114,2.27,18,0,reject,3,2
225,312,164,148,97,3.65,27,3,reject,2.5,2.5
226,310,160,150,97,3.51,41,0,reject,3.5,4
227,306,157,149,107,2.61,11,0,reject,3.5,3
228,312,147,165,106,2.75,15,3,reject,4,3.5
229,312,147,165,106,2.75,15,3,reject,3,3
230,320,164,156,0,2.55,51,0,reject,4,4.5
231,304,156,148,104,2.7,25,0,reject,3.5,2.5
232,316,163,153,110,3.56,23,0,reject,2.5,3.5
233,300,156,144,93,3.62,24,0,reject,2.5,3.5
234,321,167,154,113,2.1,24,0,reject,5,4
235,301,153,148,95,1.82,12,3,reject,4.5,4
236,313,163,150,96,3.44,28,0,reject,4,4.5
237,311,161,150,111,2.69,24,0,reject,4.5,5
238,303,158,145,101,3.62,0,3,reject,2,3.5
239,311,161,150,101,3.36,0,0,reject,1.5,2
240,306,157,149,102,2.1,0,3,reject,2.5,3
241,323,156,167,107,3.02,36,0,reject,2.5,2
242,308,160,148,103,3.42,24,0,reject,3.5,3
243,308,160,148,103,3.42,24,0,reject,3.5,3
244,311,162,149,104,2.45,0,0,reject,2.5,4
245,304,160,144,99,3.6,0,0,reject,4,2.5
246,315,164,151,108,3.17,8,0,reject,3,3.5
247,315,161,154,112,2.36,12,3,reject,2.5,3.5
248,314,166,148,103,2.85,18,3,reject,3.5,4
249,318,167,151,104,3.12,13,0,reject,3.5,4
250,308,156,152,0,2.77,28,0,reject,3,2.5
251,306,154,152,109,3.41,0,0,reject,2.5,3
252,322,167,155,107,2.86,27,3,reject,2.5,3.5
253,319,164,155,112,2.6,5,0,reject,4.5,4.5
254,310,158,152,96,2.54,1,3,reject,4,5
255,304,160,144,99,3.1,2,0,reject,4,4.5
256,312,160,152,0,3.06,0,3,reject,4,4
257,320,167,153,0,3.04,1,2,reject,4,5
258,312,163,149,107,3.42,30,0,reject,5,5
259,312,163,149,107,3.42,30,0,reject,5,4.5
260,313,161,152,0,2.53,17,0,reject,5,3.5
261,310,159,151,103,3.31,15,3,reject,3.5,4
262,314,161,153,0,2.83,17,3,reject,2.5,4
263,305,158,147,0,2.8,3,0,reject,2.5,1.5
264,316,168,148,98,3.04,16,2,reject,3,2.5
265,319,169,150,101,3.03,8,0,reject,2.5,2.5
266,320,162,158,0,2.8,31,0,reject,2,2.5
267,308,161,147,65,3.23,29,0,reject,3,3.5
268,319,166,153,97,3.42,21,0,reject,4.5,5
269,315,163,152,103,3.24,40,3,reject,4.5,5
270,303,158,145,94,2.6,35,0,reject,2.5,3
271,302,152,150,0,3.56,2,0,reject,1.5,2
272,305,155,150,114,2.98,0,0,reject,1.5,1.5
273,317,168,149,102,2.98,3,0,reject,1,1.5
274,325,170,155,105,3.3,24,0,reject,2,2.5
275,319,168,151,107,2,0,0,reject,3.5,3
276,329,167,162,106,2.15,36,0,reject,5,4.5
277,311,162,149,0,2.76,29,0,reject,2.5,3
278,308,164,144,100,3.28,1,3,reject,3,3.5
279,316,160,156,102,2.39,1,0,reject,3,4
280,310,162,148,95,3.12,53,0,reject,4.5,4
281,312,157,155,98,2.6,27,2,reject,4,4.5
282,310,160,150,101,3.26,0,0,reject,4,3.5
283,310,165,145,65,2.81,16,0,reject,2.5,3
284,319,167,152,110,2.4,18,0,reject,5,4.5
285,320,164,156,112,2.33,15,3,reject,4,4
286,304,160,144,102,2.71,0,0,reject,4.5,4
287,307,158,149,106,3.4,4,3,reject,5,4.5
288,312,162,150,113,3.74,4,3,reject,5,5
289,319,167,152,100,3.33,51,0,reject,4,3.5
290,323,168,155,104,3.48,7,3,reject,2.5,3
291,320,168,152,106,2.92,17,0,reject,1.5,2
292,312,163,149,114,3.21,3,0,reject,1,2
293,310,157,153,99,2.55,21,0,reject,3.5,3
294,314,158,156,111,3.33,23,0,reject,2.5,2
295,316,170,146,98,2.8,30,0,reject,3,2.5
296,303,153,150,75,2.22,36,0,reject,3.5,3.5
297,312,162,150,102,3.2,18,0,reject,4,4.5
298,315,166,149,108,3.13,15,3,reject,4.5,4.5
299,304,152,152,106,3.26,28,0,reject,3,3.5
300,317,160,157,0,2.85,5,0,reject,2.5,2.5
301,319,161,158,111,2.96,6,0,reject,2.5,3
302,311,168,143,102,3.44,0,0,reject,3,3
303,310,166,144,114,2.42,0,0,reject,3.5,3.5
304,317,162,155,0,3.2,34,0,reject,2.5,2
305,319,164,155,114,2.37,0,0,reject,3.5,3.5
306,313,163,150,75,3.28,20,0,reject,4,3.5
307,317,164,153,107,3.36,18,0,reject,4,4
308,306,164,142,107,3.5,4,3,reject,3.5,3
309,316,167,149,100,2.9,6,0,reject,3.5,3
310,324,167,157,109,3.63,20,0,reject,3,3.5
311,323,167,156,0,3.54,6,3,reject,4.5,4
312,306,162,144,0,3.24,8,3,reject,4.5,4.5
313,302,155,147,98,3.2,29,1,reject,3.5,3
314,326,165,161,118,2.35,0,0,reject,3,4
315,304,158,146,75,3,0,0,reject,2.5,3
316,303,160,143,98,2.92,30,0,reject,1.5,2
317,309,161,148,106,3.09,0,0,reject,1,2.5
318,298,157,141,90,2.5,28,0,reject,2.5,2
319,299,159,140,0,2.81,1,0,reject,3.5,3
320,317,160,157,108,3.36,29,0,reject,4,3.5
321,318,167,151,101,2.6,36,0,reject,4,4
322,306,156,150,75,3.38,1,0,reject,2.5,4
323,306,156,150,75,3.38,1,0,reject,2,2.5
324,309,160,149,90,1.81,50,0,reject,3,2.5
325,313,163,150,96,3.45,0,0,reject,3.5,4
326,312,160,152,0,2.45,13,0,reject,2,2
327,317,163,154,111,2.82,24,3,reject,2.5,2
328,304,160,144,87,2.25,40,0,reject,4,3.5
329,322,168,154,104,3.36,50,0,reject,2.5,1.5
330,312,161,151,97,3.45,0,0,reject,3.5,3
331,308,159,149,93,1.96,33,3,reject,3,2
332,320,163,157,101,2.5,27,3,reject,3.5,2.5
333,310,164,146,102,2.62,28,0,reject,3,3.5
334,325,165,160,114,2.66,33,0,reject,4.5,4
